City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Sembe,CG,1.6481,14.5806,72.41,89,100,2.01,overcast clouds
144,Nanakuli,US,21.3906,-158.1547,73.4,64,1,5.75,clear sky
145,Cherskiy,RU,68.75,161.3,32.23,72,100,24.38,overcast clouds
146,Ribeira Grande,PT,38.5167,-28.7,61.47,89,56,12.55,broken clouds
147,Muisne,EC,0.6,-80.0333,76.14,83,98,2.68,overcast clouds
148,Shingu,JP,33.7333,135.9833,60.8,41,40,17.27,scattered clouds
149,Salaberry-De-Valleyfield,CA,45.2501,-74.1325,44.01,87,66,3.22,broken clouds
150,Fairbanks,US,64.8378,-147.7164,48.2,40,1,5.75,clear sky
151,Diapaga,BF,12.0708,1.7889,83.19,49,90,7.02,overcast clouds
152,La Ronge,CA,55.1001,-105.2842,32.0,59,97,6.91,overcast clouds
153,Mporokoso,ZM,-9.3727,30.125,61.47,82,69,10.96,broken clouds
154,Kaeo,NZ,-35.1,173.7833,62.01,78,99,2.33,overcast clouds
155,Ilulissat,GL,69.2167,-51.1,5.0,61,40,19.57,scattered clouds
156,Hurghada,EG,27.2574,33.8129,73.4,18,0,4.61,clear sky
157,Karratha,AU,-20.7377,116.8463,88.25,42,0,16.69,clear sky
158,Cabo San Lucas,MX,22.8909,-109.9124,71.01,66,2,12.62,clear sky
159,Lisburn,GB,54.5234,-6.0353,44.6,87,75,6.91,broken clouds
160,Salalah,OM,17.0151,54.0924,84.2,65,0,4.61,clear sky
161,Pontianak,ID,-0.0333,109.3333,86.0,74,75,4.74,broken clouds
162,Torbay,CA,47.6666,-52.7314,35.01,100,90,13.8,light rain
163,Dingle,PH,10.9995,122.6711,88.29,49,100,16.6,light rain
164,Fortuna,US,40.5982,-124.1573,48.99,100,90,3.27,overcast clouds
165,Ust-Nera,RU,64.5667,143.2,23.67,71,81,21.25,broken clouds
166,Portland,US,45.5234,-122.6762,64.4,42,1,5.75,clear sky
167,Kodiak,US,57.79,-152.4072,41.0,87,90,3.44,light rain
168,Waipawa,NZ,-41.4122,175.5153,60.8,59,7,17.27,clear sky
169,Moen,NO,69.1304,18.6123,33.8,64,89,2.3,overcast clouds
170,San Patricio,US,28.017,-97.5169,62.6,55,90,23.02,overcast clouds
171,Makakilo City,US,21.3469,-158.0858,77.0,64,1,5.75,clear sky
172,Saint-Philippe,RE,-21.3585,55.7679,82.4,73,90,9.22,overcast clouds
173,Urumqi,CN,43.801,87.6005,69.8,28,20,4.47,few clouds
174,Chokurdakh,RU,70.6333,147.9167,22.32,93,85,10.63,light snow
175,Vaini,TO,-21.2,-175.2,75.2,83,40,4.61,scattered clouds
176,Catuday,PH,16.2923,119.8062,82.85,67,56,7.63,broken clouds
177,Mapimi,MX,25.8167,-103.85,60.01,61,3,5.99,clear sky
178,Acarau,BR,-2.8856,-40.12,76.21,89,45,8.95,scattered clouds
179,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,20.71,few clouds
180,Coari,BR,-4.085,-63.1414,71.83,98,92,2.26,light rain
181,Isangel,VU,-19.55,169.2667,78.75,82,82,10.04,broken clouds
182,Iqaluit,CA,63.7506,-68.5145,12.2,73,75,2.3,broken clouds
183,Abu Samrah,SY,35.3029,37.1841,77.45,25,50,0.81,scattered clouds
184,Den Helder,NL,52.9599,4.7593,44.01,93,90,3.44,overcast clouds
185,Kaitangata,NZ,-46.2817,169.8464,59.0,61,65,4.0,broken clouds
186,Zaysan,KZ,47.4667,84.8667,59.36,44,12,11.03,few clouds
187,Northam,GB,51.0333,-4.2167,42.01,1,100,1.99,overcast clouds
188,Saint George,US,37.1041,-113.5841,59.0,17,1,20.71,clear sky
189,Mehamn,NO,71.0357,27.8492,36.19,81,86,15.21,overcast clouds
190,Laguna,US,38.421,-121.4238,69.01,27,0,8.25,clear sky
191,Nabire,ID,-3.3667,135.4833,81.88,77,85,1.36,overcast clouds
192,Broome,US,42.2506,-75.833,43.0,87,90,4.61,overcast clouds
193,Raga,SS,8.4596,25.678,86.61,20,100,2.66,overcast clouds
194,Tingo Maria,PE,-9.2895,-76.0088,68.56,98,100,1.57,overcast clouds
195,Weinan,CN,34.5036,109.5089,72.0,30,0,6.71,clear sky
196,Sault Sainte Marie,CA,46.5168,-84.3333,35.6,75,1,10.36,clear sky
197,Negombo,LK,7.2083,79.8358,87.8,70,40,12.66,scattered clouds
198,Umm Kaddadah,SD,13.6017,26.6876,82.94,7,11,17.85,few clouds
199,Yellowknife,CA,62.456,-114.3525,28.99,80,20,8.05,few clouds
200,Kahului,US,20.8947,-156.47,73.4,83,40,11.5,scattered clouds
